Company,VAN,Date,Transactions,Revenue_DA
BIFA,BIFA LIV01,2026-03-07,9,142627.21
BIFA,BIFA LIV01,2026-03-08,10,249551.2
BIFA,BIFA LIV01,2026-03-09,8,291694.7
BIFA,BIFA LIV01,2026-03-10,10,295631.86
BIFA,BIFA LIV01,2026-03-11,9,220931.53999999998
BIFA,BIFA LIV03,2026-03-07,11,208954.62
BIFA,BIFA LIV03,2026-03-08,14,128382.9
BIFA,BIFA LIV03,2026-03-09,12,132127.82
BIFA,BIFA LIV03,2026-03-10,15,143119.76
BIFA,BIFA LIV03,2026-03-11,13,156436.72
BIFA,BIFA LIV04,2026-03-07,16,244299.08000000002
BIFA,BIFA LIV04,2026-03-08,13,151269.99
BIFA,BIFA LIV04,2026-03-09,11,171882.06
BIFA,BIFA LIV04,2026-03-10,16,192551.52
BIFA,BIFA LIV04,2026-03-11,12,385049.57
BIFA,BIFA LIV05,2026-03-07,14,216454.46
BIFA,BIFA LIV05,2026-03-08,6,223469.36
BIFA,BIFA LIV05,2026-03-09,6,43702.84
BIFA,BIFA LIV05,2026-03-10,7,227236.56
BIFA,BIFA LIV05,2026-03-11,11,277234.33
BIFA,BIFA PLIV02,2026-03-07,13,190300.91
BIFA,BIFA PLIV02,2026-03-08,11,117767.17
BIFA,BIFA PLIV02,2026-03-09,13,119913.12
BIFA,BIFA PLIV02,2026-03-10,13,654080.23
BIFA,BIFA PLIV02,2026-03-11,16,191758.24
BIFA,BIFA PSLIV01,2026-03-10,2,535000.8
DELISKY,DELISKY LIV01,2026-03-06,1,4865.0
DELISKY,DELISKY LIV01,2026-03-07,20,102443.0
DELISKY,DELISKY LIV01,2026-03-08,16,66228.0
DELISKY,DELISKY LIV01,2026-03-09,16,75852.0
DELISKY,DELISKY LIV01,2026-03-10,16,105285.0
DELISKY,DELISKY LIV01,2026-03-11,19,82013.0
DELISKY,DELISKY LIV02,2026-03-07,19,71681.0
DELISKY,DELISKY LIV02,2026-03-08,16,88053.0
DELISKY,DELISKY LIV02,2026-03-09,16,71635.0
DELISKY,DELISKY LIV02,2026-03-10,15,62239.0
DELISKY,DELISKY LIV02,2026-03-11,13,81358.0
DELISKY,DELISKY LIV03,,1,0.0
NITA,NITA LIV01,,1,0.0
NITA,NITA LIV02,2026-03-07,17,67095.0
NITA,NITA LIV02,2026-03-08,14,95355.0
NITA,NITA LIV02,2026-03-09,18,149912.0
NITA,NITA LIV02,2026-03-10,19,126548.0
NITA,NITA LIV02,2026-03-11,14,91816.0
NITA,NITA LIV03,2026-03-07,14,46508.0
NITA,NITA LIV03,2026-03-08,16,74680.0
NITA,NITA LIV03,2026-03-09,9,52955.0
NITA,NITA LIV03,2026-03-10,12,85708.0
NITA,NITA LIV03,2026-03-11,10,117662.0
