antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'DAILY JOY FRAISE 12,5CL'})","frozenset({'DAILY JOY F BOIS 12,5CL'})",0.07865168539325842,0.08052434456928839,0.052434456928838954,0.6666666666666667,8.279069767441861,1.0,0.046101081513276944,2.7584269662921357,0.9542682926829268,0.4912280701754386,0.6374745417515276,0.6589147286821706
"frozenset({'DAILY JOY F BOIS 12,5CL'})","frozenset({'DAILY JOY FRAISE 12,5CL'})",0.08052434456928839,0.07865168539325842,0.052434456928838954,0.6511627906976745,8.279069767441861,1.0,0.046101081513276944,2.6411985018726596,0.9562118126272912,0.4912280701754386,0.6213840045377199,0.6589147286821706
frozenset({'NITA MUFFINS COCOA CHOCOLAT'}),frozenset({'NITA SO OVALO'}),0.07116104868913857,0.10299625468164794,0.05805243445692884,0.8157894736842106,7.920574162679427,1.0,0.050723112962729175,4.869448903156771,0.9406867845993756,0.5000000000000001,0.7946379518734206,0.689712918660287
frozenset({'NITA SO OVALO'}),frozenset({'NITA MUFFINS COCOA CHOCOLAT'}),0.10299625468164794,0.07116104868913857,0.05805243445692884,0.5636363636363636,7.920574162679426,1.0,0.050723112962729175,2.128589263420724,0.9740723281029027,0.5000000000000001,0.5302052785923753,0.689712918660287
frozenset({'NITA BROWNIE'}),frozenset({'NITA SO OVALO'}),0.0898876404494382,0.10299625468164794,0.06928838951310862,0.7708333333333334,7.484090909090909,1.0,0.06003029920464588,3.914198161389173,0.9519519519519519,0.5606060606060607,0.7445198329853863,0.721780303030303
frozenset({'NITA SO OVALO'}),frozenset({'NITA BROWNIE'}),0.10299625468164794,0.0898876404494382,0.06928838951310862,0.6727272727272727,7.484090909090909,1.0,0.06003029920464588,2.7808988764044944,0.9658635671161767,0.5606060606060607,0.6404040404040404,0.721780303030303
frozenset({'NITA THE BALL'}),frozenset({'NITA SO OVALO'}),0.09737827715355805,0.10299625468164794,0.06928838951310862,0.7115384615384616,6.908391608391608,1.0,0.05925879167894065,3.1096129837702873,0.9475159807110014,0.5285714285714287,0.678416572988598,0.6921328671328671
frozenset({'NITA SO OVALO'}),frozenset({'NITA THE BALL'}),0.10299625468164794,0.09737827715355805,0.06928838951310862,0.6727272727272727,6.908391608391608,1.0,0.05925879167894065,2.7580108198085727,0.9534503187947864,0.5285714285714287,0.6374198415692192,0.6921328671328671
frozenset({'NITA BROWNIE'}),frozenset({'NITA THE BALL'}),0.0898876404494382,0.09737827715355805,0.0599250936329588,0.6666666666666667,6.846153846153847,1.0,0.051171990068594034,2.7078651685393265,0.9382716049382717,0.47058823529411764,0.6307053941908715,0.6410256410256411
frozenset({'NITA THE BALL'}),frozenset({'NITA BROWNIE'}),0.09737827715355805,0.0898876404494382,0.0599250936329588,0.6153846153846154,6.846153846153847,1.0,0.051171990068594034,2.3662921348314607,0.946058091286307,0.47058823529411764,0.5773979107312441,0.6410256410256411
