Article,Qté vendue,CumSum,TotalSum,CumPct,Class
BRINO JUNIOR,30048.0,30048.0,148232.0,0.2027092665551298,A (VIP)
DUNAROLL ROUGE,12750.0,42798.0,148232.0,0.2887230827351719,A (VIP)
DAILY JOY 12.5CL,11328.0,54126.0,148232.0,0.36514382859301636,A (VIP)
CELEBRITY FONDANT,9528.0,63654.0,148232.0,0.42942144746073724,A (VIP)
WAFER CHOCO,7110.0,70764.0,148232.0,0.4773867990717254,A (VIP)
BESTO NOIR PM,6528.0,77292.0,148232.0,0.5214258729559069,A (VIP)
TORTO,5040.0,82332.0,148232.0,0.555426628528253,A (VIP)
DOLCE WAFER COCOA,4770.0,87102.0,148232.0,0.5876059150520805,A (VIP)
"DAILY JOY FRAISE 12,5CL",4704.0,91806.0,148232.0,0.6193399535862701,A (VIP)
"DAILY JOY F BOIS 12,5CL",4704.0,96510.0,148232.0,0.6510739921204598,A (VIP)
DAILY COCKTAIL 20CL,4440.0,100950.0,148232.0,0.681027038696098,A (VIP)
BRINO BANANE,4200.0,105150.0,148232.0,0.709361001673053,A (VIP)
DAILY JOY CHOCOLATE 125 ML,2736.0,107886.0,148232.0,0.7278185546980409,A (VIP)
WAFERS GM CC,2240.0,110126.0,148232.0,0.7429300016190836,A (VIP)
CHAMIA  90G,2208.0,112334.0,148232.0,0.7578255707269685,A (VIP)
AVANTAGE,2070.0,114404.0,148232.0,0.7717901667656106,A (VIP)
BRINO NOIR VANILLE,2016.0,116420.0,148232.0,0.7853904689945491,A (VIP)
WAFERS GM VANILLE,1940.0,118360.0,148232.0,0.7984780614172379,A (VIP)
BESTO BLANCO X4,1824.0,120184.0,148232.0,0.8107830967672297,B (Medium)
DAILY ORG 20CL,1590.0,121774.0,148232.0,0.8215095256085055,B (Medium)
BENITO CM6,1368.0,123142.0,148232.0,0.8307383021209995,B (Medium)
DUNAROLL MAXI CREME CACAO,1220.0,124362.0,148232.0,0.8389686437476388,B (Medium)
BONITO CHOCOLAT,1152.0,125514.0,148232.0,0.846740245021318,B (Medium)
BESTO NOIRCO 7 PCS,1128.0,126642.0,148232.0,0.8543499379351287,B (Medium)
DAILY ORG PECHE ABR 20CL,1050.0,127692.0,148232.0,0.8614334286793675,B (Medium)
BREAK ROLL,1044.0,128736.0,148232.0,0.8684764423336392,B (Medium)
MARSHMALLOW NOIX DE COCO X4,1032.0,129768.0,148232.0,0.8754385018079767,B (Medium)
FAMELIO,1032.0,130800.0,148232.0,0.8824005612823143,B (Medium)
