Company,VAN,Region,Transactions,Revenue_DA
BIFA,BIFA LIV01,ZERAIA,4,406873.9
BIFA,BIFA LIV01,MILA 01,11,299498.89
BIFA,BIFA LIV01,MILA 02,8,184509.46000000002
BIFA,BIFA LIV01,MILA 03,9,129101.6
BIFA,BIFA LIV01,TERRI BAYNANE,7,94042.7
BIFA,BIFA LIV01,SIDI MARWANE,7,86409.95999999999
BIFA,BIFA LIV03,EX TAJNANET,19,275567.66
BIFA,BIFA LIV03,	 TADJENANET 02,12,153242.04
BIFA,BIFA LIV03,REDJAS,10,120371.34
BIFA,BIFA LIV03,AZZEBA LOTFI,7,60509.28
BIFA,BIFA LIV03,TADJENANET 01,6,51047.5
BIFA,BIFA LIV03,OUED EL NEDJA,3,36065.38
BIFA,BIFA LIV03,SIDI KHLIFA,2,32785.59
BIFA,BIFA LIV03,AIN TINNE,4,30503.03
BIFA,BIFA LIV03,,1,4585.0
BIFA,BIFA LIV03,BIR EL ARCHE,1,4345.0
BIFA,BIFA LIV04,GRAREM GOUGA,27,416181.14
BIFA,BIFA LIV04,FERDJIOUA,12,385049.57
BIFA,BIFA LIV04,OUED ATHMANIA,16,192551.52
BIFA,BIFA LIV04,OUED SEGUEN,9,123370.23999999999
BIFA,BIFA LIV04,DJBEL AOUGUEB,4,27899.75
BIFA,BIFA LIV05,CHIGARA,3,188092.0
BIFA,BIFA LIV05,TELEGHMA 01,8,184621.5
BIFA,BIFA LIV05,BOUHATEM,3,165743.88
BIFA,BIFA LIV05,	 TELEGHMA 02,1,145255.68
BIFA,BIFA LIV05,ZEMALA,11,106761.84
BIFA,BIFA LIV05,ROUACHED,5,66112.31
BIFA,BIFA LIV05,TIBERGUENT,5,65928.14
BIFA,BIFA LIV05,ANNOUCHE ALI,2,32162.36
BIFA,BIFA LIV05,DERRAGE BOUSLAHE,4,23152.84
BIFA,BIFA LIV05,OULED SMAILE,1,7052.0
BIFA,BIFA LIV05,SIBARI,1,3215.0
BIFA,BIFA PLIV02,CHELGHOUM LAID 02,19,703684.05
BIFA,BIFA PLIV02,CHELGHOUM LAID 01,11,174123.5
BIFA,BIFA PLIV02,BOUKARANA,12,158331.83000000002
BIFA,BIFA PLIV02,AIN MELLOUK,11,117767.17
BIFA,BIFA PLIV02,EL MCHIRA,12,107716.87
BIFA,BIFA PLIV02,OULED KHLOUF,1,12196.25
BIFA,BIFA PSLIV01,REDJAS,1,400296.8
BIFA,BIFA PSLIV01,OUED EL NEDJA,1,134704.0
DELISKY,DELISKY LIV01,MILA 01,14,108844.0
DELISKY,DELISKY LIV01,MILA 02,17,71863.0
DELISKY,DELISKY LIV01,DJBEL AOUGUEB,10,61084.0
DELISKY,DELISKY LIV01,TELEGHMA 01,10,43478.0
DELISKY,DELISKY LIV01,OUED ATHMANIA,11,43119.0
DELISKY,DELISKY LIV01,TERRI BAYNANE,11,42900.0
DELISKY,DELISKY LIV01,,4,25043.0
DELISKY,DELISKY LIV01,AMIRA ARRES,4,19986.0
DELISKY,DELISKY LIV01,OUED SEGUEN,5,16167.0
DELISKY,DELISKY LIV01,BOUGHARDAINE,1,3342.0
DELISKY,DELISKY LIV01,ZEMALA,1,860.0
DELISKY,DELISKY LIV02,TADJENANET 01,12,79588.0
DELISKY,DELISKY LIV02,FERDJIOUA,19,71681.0
DELISKY,DELISKY LIV02,AIN BAYDA HRICHE,10,48128.0
DELISKY,DELISKY LIV02,ZERAIA,8,37802.0
DELISKY,DELISKY LIV02,REDJAS,9,35939.0
DELISKY,DELISKY LIV02,ROUACHED,8,33833.0
DELISKY,DELISKY LIV02,TASSADANE HADDADA,3,26467.0
DELISKY,DELISKY LIV02,,3,16283.0
DELISKY,DELISKY LIV02,OUED EL NEDJA,2,8310.0
DELISKY,DELISKY LIV02,AHMED RACHEDI,2,7305.0
DELISKY,DELISKY LIV02,EL DRABLA,1,6090.0
DELISKY,DELISKY LIV02,	 TADJENANET 02,1,1770.0
DELISKY,DELISKY LIV02,MINAR ZARZA,1,1770.0
DELISKY,DELISKY LIV03,,1,0.0
NITA,NITA LIV01,,1,0.0
NITA,NITA LIV02,FERDJIOUA,19,126548.0
NITA,NITA LIV02,TADJENANET 01,14,95355.0
NITA,NITA LIV02,BIR EL ARCHE,12,76505.0
NITA,NITA LIV02,TASSADANE HADDADA,5,65185.0
NITA,NITA LIV02,AIN BAYDA HRICHE,9,45468.0
NITA,NITA LIV02,ZERAIA,8,27895.0
NITA,NITA LIV02,MINAR ZARZA,3,26259.0
NITA,NITA LIV02,AHMED RACHEDI,3,24000.0
NITA,NITA LIV02,EL BELAA,2,15311.0
NITA,NITA LIV02,REDJAS,6,15200.0
NITA,NITA LIV02,BOUHATEM,1,13000.0
NITA,NITA LIV03,CHELGHOUM LAID 02,15,126727.0
NITA,NITA LIV03,GRAREM GOUGA,15,69840.0
NITA,NITA LIV03,ROUACHED,9,50268.0
NITA,NITA LIV03,YAHIA BENI GHACHA,1,28598.0
NITA,NITA LIV03,ANNOUCHE ALI,3,20715.0
NITA,NITA LIV03,BOUKARANA,5,19266.0
NITA,NITA LIV03,SIBARI,3,16758.0
NITA,NITA LIV03,CHELGHOUM LAID 01,3,16391.0
NITA,NITA LIV03,CHIGARA,3,15482.0
NITA,NITA LIV03,TIBERGUENT,2,6842.0
NITA,NITA LIV03,GRAREM GOUGA 02,1,4840.0
NITA,NITA LIV03,,1,1786.0
