Company,VAN,Article,Qty_Loaded,Qty_Sold,Balance,Status
BIFA,BIFA LIV01,AVANTAGE,378,432,-54,OVER-SOLD
BIFA,BIFA LIV01,BALBON FRUITE,24,27,-3,OVER-SOLD
BIFA,BIFA LIV01,BALBON REGLISE,8,8,0,OK
BIFA,BIFA LIV01,BENITO CM6,144,216,-72,OVER-SOLD
BIFA,BIFA LIV01,BESBOUSSA,448,480,-32,OVER-SOLD
BIFA,BIFA LIV01,BESTO BLANCO X4,240,432,-192,OVER-SOLD
BIFA,BIFA LIV01,BESTO CACAO,100,120,-20,OVER-SOLD
BIFA,BIFA LIV01,BESTO NOIR PM,720,1152,-432,OVER-SOLD
BIFA,BIFA LIV01,BESTO NOIRCO 7 PCS,240,240,0,OK
BIFA,BIFA LIV01,BIG FAMILY CC 8,72,112,-40,OVER-SOLD
BIFA,BIFA LIV01,BISCUIT RS DUO,16,27,-11,OVER-SOLD
BIFA,BIFA LIV01,BISCUIT SPECULOOS,260,300,-40,OVER-SOLD
BIFA,BIFA LIV01,BISCUIT SPECULOOS CRUMBS,30,50,-20,OVER-SOLD
BIFA,BIFA LIV01,BONITO CHOCOLAT,192,336,-144,OVER-SOLD
BIFA,BIFA LIV01,BONITO PEANUTS,120,240,-120,OVER-SOLD
BIFA,BIFA LIV01,BRAVA CHOCOLAT CACAHUETE,20,9,11,OK
BIFA,BIFA LIV01,BRAVA MINI CHOCOLAT CACAHUETE,0,19,-19,OVER-SOLD
BIFA,BIFA LIV01,BREAK ROLL,108,216,-108,OVER-SOLD
BIFA,BIFA LIV01,BRINO BANANE,360,672,-312,OVER-SOLD
BIFA,BIFA LIV01,BRINO CM6 CC,0,24,-24,OVER-SOLD
BIFA,BIFA LIV01,BRINO JUNIOR,3360,4080,-720,OVER-SOLD
BIFA,BIFA LIV01,BRINO NOIR VANILLE,216,456,-240,OVER-SOLD
BIFA,BIFA LIV01,CELEBRITY BAR CAKE,0,17,-17,OVER-SOLD
BIFA,BIFA LIV01,CELEBRITY BEST TIME,384,384,0,OK
BIFA,BIFA LIV01,CELEBRITY BEST TIME 9PCS,0,32,-32,OVER-SOLD
BIFA,BIFA LIV01,CELEBRITY BROWNIE,24,32,-8,OVER-SOLD
BIFA,BIFA LIV01,CELEBRITY FONDANT,1920,2448,-528,OVER-SOLD
BIFA,BIFA LIV01,CELEBRITY MINI BAR,30,38,-8,OVER-SOLD
BIFA,BIFA LIV01,CELEBRITY TWIN,48,59,-11,OVER-SOLD
BIFA,BIFA LIV01,CHAMIA  90G,120,432,-312,OVER-SOLD
BIFA,BIFA LIV01,CHAMIA 25G,18,25,-7,OVER-SOLD
BIFA,BIFA LIV01,CHAMIA 720 G,0,9,-9,OVER-SOLD
BIFA,BIFA LIV01,CHAMIA PAPILLON 350g ,0,5,-5,OVER-SOLD
BIFA,BIFA LIV01,CULINA PATE A GLACER PROFESSIONNEL,96,132,-36,OVER-SOLD
BIFA,BIFA LIV01,DADEY GM,0,24,-24,OVER-SOLD
BIFA,BIFA LIV01,DADEY GM BLANC,0,12,-12,OVER-SOLD
BIFA,BIFA LIV01,DAILY COCKTAIL 20CL,450,600,-150,OVER-SOLD
BIFA,BIFA LIV01,DAILY JOY CHOCOLATE 125 ML,312,552,-240,OVER-SOLD
BIFA,BIFA LIV01,"DAILY JOY F BOIS 12,5CL",960,960,0,OK
BIFA,BIFA LIV01,"DAILY JOY FRAISE 12,5CL",960,960,0,OK
BIFA,BIFA LIV01,DAILY ORG 20CL,450,300,150,OK
BIFA,BIFA LIV01,DAILY ORG PECHE ABR 20CL,300,90,210,OK
BIFA,BIFA LIV01,DAILY JOY 12.5CL,1920,1920,0,OK
BIFA,BIFA LIV01,DOLCE TABLETTE CHOCOLAT,0,13,-13,OVER-SOLD
BIFA,BIFA LIV01,DOLCE WAFER COCOA,900,1140,-240,OVER-SOLD
BIFA,BIFA LIV01,DOLCE WAFER COCOA PLUS,150,135,15,OK
BIFA,BIFA LIV01,DUNAROLL MAXI CREME BLANCHE,50,50,0,OK
BIFA,BIFA LIV01,DUNAROLL MAXI CREME CACAO,50,70,-20,OVER-SOLD
BIFA,BIFA LIV01,DUNAROLL ROUGE,1350,1980,-630,OVER-SOLD
BIFA,BIFA LIV01,FAMELIO,144,228,-84,OVER-SOLD
BIFA,BIFA LIV01,KRISPINO MAX,16,23,-7,OVER-SOLD
BIFA,BIFA LIV01,MARSHMALLOW NOIX DE COCO X4,240,216,24,OK
BIFA,BIFA LIV01,MAX CREME,90,126,-36,OVER-SOLD
BIFA,BIFA LIV01,MAX CREME NOIR,54,108,-54,OVER-SOLD
BIFA,BIFA LIV01,MINI CELEBRITY FONDANT,405,423,-18,OVER-SOLD
BIFA,BIFA LIV01,MINI TALENT CACAHOUETE,8,9,-1,OVER-SOLD
BIFA,BIFA LIV01,MINI TALENT NOISETTES ET RAISINS SECS 70G,8,4,4,OK
BIFA,BIFA LIV01,MONTANA,0,1,-1,OVER-SOLD
BIFA,BIFA LIV01,MUFFIN'S BREAK FRAISE,0,108,-108,OVER-SOLD
BIFA,BIFA LIV01,RIGOLO,144,162,-18,OVER-SOLD
BIFA,BIFA LIV01,ROND GAUF AU CACAHUETE,0,10,-10,OVER-SOLD
BIFA,BIFA LIV01,ROYAL HALVA CHOCOLAT CHAMIA AMANDES,16,15,1,OK
BIFA,BIFA LIV01,STORY BARRE KUNAFA PISTACHE,12,15,-3,OVER-SOLD
BIFA,BIFA LIV01,STORY CHOCOLAT KUNAFA PISTACHE,8,12,-4,OVER-SOLD
BIFA,BIFA LIV01,STORY CHOCOLAT NOIR 70% CACAO,0,4,-4,OVER-SOLD
BIFA,BIFA LIV01,SUCETTE KRISTOP FRUITE,16,43,-27,OVER-SOLD
BIFA,BIFA LIV01,TALENT AUX CACAHOUETES,16,22,-6,OVER-SOLD
BIFA,BIFA LIV01,TORTO,672,912,-240,OVER-SOLD
BIFA,BIFA LIV01,WAFER CHOCO,1125,1530,-405,OVER-SOLD
BIFA,BIFA LIV01,WAFERS GM CC,200,300,-100,OVER-SOLD
BIFA,BIFA LIV01,WAFERS GM CITRON,0,20,-20,OVER-SOLD
BIFA,BIFA LIV01,WAFERS GM VANILLE,260,360,-100,OVER-SOLD
BIFA,BIFA LIV03,AVANTAGE,216,270,-54,OVER-SOLD
BIFA,BIFA LIV03,BALBON FRUITE,24,55,-31,OVER-SOLD
BIFA,BIFA LIV03,BALBON REGLISE,8,24,-16,OVER-SOLD
BIFA,BIFA LIV03,BENITO CM6,144,252,-108,OVER-SOLD
BIFA,BIFA LIV03,BESBOUSSA,96,192,-96,OVER-SOLD
BIFA,BIFA LIV03,BESTO BLANCO X4,0,264,-264,OVER-SOLD
BIFA,BIFA LIV03,BESTO CACAO,120,120,0,OK
BIFA,BIFA LIV03,BESTO NOIR PM,720,768,-48,OVER-SOLD
BIFA,BIFA LIV03,BESTO NOIRCO 4PCS,0,72,-72,OVER-SOLD
BIFA,BIFA LIV03,BESTO NOIRCO 7 PCS,0,96,-96,OVER-SOLD
BIFA,BIFA LIV03,BIG FAMILY CC 8,64,104,-40,OVER-SOLD
BIFA,BIFA LIV03,BISCUIT RS DUO,0,16,-16,OVER-SOLD
BIFA,BIFA LIV03,BISCUIT SPECULOOS,120,200,-80,OVER-SOLD
BIFA,BIFA LIV03,BISCUIT SPECULOOS CRUMBS,0,20,-20,OVER-SOLD
BIFA,BIFA LIV03,BONITO CHOCOLAT,72,48,24,OK
