Company,VAN,Article,Opening_Qty,Qty_Loaded,Qty_Sold,Total_In,Stock_Left,Status
BIFA,BIFA LIV01,AVANTAGE,180,378,432,558,126,OK
BIFA,BIFA LIV01,BALBON FRUITE,27,24,27,51,24,OK
BIFA,BIFA LIV01,BALBON REGLISE,18,8,8,26,18,OK
BIFA,BIFA LIV01,BENITO CM6,90,144,216,234,18,OK
BIFA,BIFA LIV01,BESBOUSSA,128,448,480,576,96,OK
BIFA,BIFA LIV01,BESTO BLANCO X4,192,240,432,432,0,OK
BIFA,BIFA LIV01,BESTO CACAO,100,100,120,200,80,OK
BIFA,BIFA LIV01,BESTO NOIR PM,432,720,1152,1152,0,OK
BIFA,BIFA LIV01,BESTO NOIRCO 7 PCS,120,240,240,360,120,OK
BIFA,BIFA LIV01,BIG FAMILY CC 8,40,72,112,112,0,OK
BIFA,BIFA LIV01,BISCUIT RS DUO,12,16,27,28,1,OK
BIFA,BIFA LIV01,BISCUIT SPECULOOS,100,260,300,360,60,OK
BIFA,BIFA LIV01,BISCUIT SPECULOOS CRUMBS,40,30,50,70,20,OK
BIFA,BIFA LIV01,BONITO CHOCOLAT,144,192,336,336,0,OK
BIFA,BIFA LIV01,BONITO PEANUTS,120,120,240,240,0,OK
BIFA,BIFA LIV01,BRAVA BISCUIT SANDWICH,72,0,0,72,72,OK
BIFA,BIFA LIV01,BRAVA CHOCOLAT CACAHUETE,8,20,9,28,19,OK
BIFA,BIFA LIV01,BRAVA MINI CHOCOLAT CACAHUETE,23,0,19,23,4,OK
BIFA,BIFA LIV01,BRAVA TWIST ECLATS NOISETTES,7,0,0,7,7,OK
BIFA,BIFA LIV01,BREAK ROLL,144,108,216,252,36,OK
BIFA,BIFA LIV01,BRINO BANANE,336,360,672,696,24,OK
BIFA,BIFA LIV01,BRINO CM6 CC,0,0,24,0,-24,DEFICIT
BIFA,BIFA LIV01,BRINO JUNIOR,1968,3360,4080,5328,1248,OK
BIFA,BIFA LIV01,BRINO NOIR VANILLE,240,216,456,456,0,OK
BIFA,BIFA LIV01,CELEBRITY BAR CAKE,17,0,17,17,0,OK
BIFA,BIFA LIV01,CELEBRITY BEST TIME,144,384,384,528,144,OK
BIFA,BIFA LIV01,CELEBRITY BEST TIME 9PCS,96,0,32,96,64,OK
BIFA,BIFA LIV01,CELEBRITY BROWNIE,12,24,32,36,4,OK
BIFA,BIFA LIV01,CELEBRITY FONDANT,672,1920,2448,2592,144,OK
BIFA,BIFA LIV01,CELEBRITY MINI BAR,19,30,38,49,11,OK
BIFA,BIFA LIV01,CELEBRITY TWIN,11,48,59,59,0,OK
BIFA,BIFA LIV01,CHAMIA  90G,312,120,432,432,0,OK
BIFA,BIFA LIV01,CHAMIA 25G,24,18,25,42,17,OK
BIFA,BIFA LIV01,CHAMIA 720 G,33,0,9,33,24,OK
BIFA,BIFA LIV01,CHAMIA PAPILLON 350g ,5,0,5,5,0,OK
BIFA,BIFA LIV01,CULINA PATE A GLACER PROFESSIONNEL,36,96,132,132,0,OK
BIFA,BIFA LIV01,DADEY GM,84,0,24,84,60,OK
BIFA,BIFA LIV01,DADEY GM BLANC,72,0,12,72,60,OK
BIFA,BIFA LIV01,DAILY COCKTAIL 20CL,450,450,600,900,300,OK
BIFA,BIFA LIV01,DAILY JOY CHOCOLATE 125 ML,240,312,552,552,0,OK
BIFA,BIFA LIV01,"DAILY JOY F BOIS 12,5CL",0,960,960,960,0,OK
BIFA,BIFA LIV01,"DAILY JOY FRAISE 12,5CL",0,960,960,960,0,OK
BIFA,BIFA LIV01,DAILY ORG 20CL,0,450,300,450,150,OK
BIFA,BIFA LIV01,DAILY ORG PECHE ABR 20CL,0,300,90,300,210,OK
BIFA,BIFA LIV01,DAILY JOY 12.5CL,0,1920,1920,1920,0,OK
BIFA,BIFA LIV01,DOLCE TABLETTE CHOCOLAT,44,0,13,44,31,OK
BIFA,BIFA LIV01,DOLCE WAFER COCOA,240,900,1140,1140,0,OK
BIFA,BIFA LIV01,DOLCE WAFER COCOA PLUS,75,150,135,225,90,OK
BIFA,BIFA LIV01,DUNAROLL MAXI CREME BLANCHE,60,50,50,110,60,OK
BIFA,BIFA LIV01,DUNAROLL MAXI CREME CACAO,60,50,70,110,40,OK
BIFA,BIFA LIV01,DUNAROLL ROUGE,630,1350,1980,1980,0,OK
