Company,VAN,Qté,Article
BIFA,BIFA LIV01,312,DAILY JOY CHOCOLATE 125 ML
BIFA,BIFA LIV01,378,AVANTAGE
BIFA,BIFA LIV01,1125,WAFER CHOCO
BIFA,BIFA LIV01,50,DUNAROLL MAXI CREME CACAO
BIFA,BIFA LIV01,192,BONITO CHOCOLAT
BIFA,BIFA LIV01,300,DAILY ORG PECHE ABR 20CL
BIFA,BIFA LIV01,960,"DAILY JOY FRAISE 12,5CL"
BIFA,BIFA LIV01,150,DOLCE WAFER COCOA PLUS
BIFA,BIFA LIV01,16,ROYAL HALVA CHOCOLAT CHAMIA AMANDES
BIFA,BIFA LIV01,8,MINI TALENT CACAHOUETE
BIFA,BIFA LIV01,24,BALBON FRUITE
BIFA,BIFA LIV01,450,DAILY COCKTAIL 20CL
BIFA,BIFA LIV01,960,"DAILY JOY F BOIS 12,5CL"
BIFA,BIFA LIV01,16,BISCUIT RS DUO
BIFA,BIFA LIV01,48,CELEBRITY TWIN
BIFA,BIFA LIV01,108,BREAK ROLL
BIFA,BIFA LIV01,8,STORY CHOCOLAT KUNAFA PISTACHE
BIFA,BIFA LIV01,30,BISCUIT SPECULOOS CRUMBS
BIFA,BIFA LIV01,50,DUNAROLL MAXI CREME BLANCHE
BIFA,BIFA LIV01,72,BIG FAMILY CC 8
BIFA,BIFA LIV01,3360,BRINO JUNIOR
BIFA,BIFA LIV01,450,DAILY ORG 20CL
BIFA,BIFA LIV01,405,MINI CELEBRITY FONDANT
BIFA,BIFA LIV01,24,CELEBRITY BROWNIE
BIFA,BIFA LIV01,90,MAX CREME
BIFA,BIFA LIV01,96,CULINA PATE A GLACER PROFESSIONNEL
BIFA,BIFA LIV01,260,WAFERS GM VANILLE
BIFA,BIFA LIV01,360,BRINO BANANE
BIFA,BIFA LIV01,384,CELEBRITY BEST TIME
BIFA,BIFA LIV01,12,STORY BARRE KUNAFA PISTACHE
BIFA,BIFA LIV01,900,DOLCE WAFER COCOA
BIFA,BIFA LIV01,16,SUCETTE KRISTOP FRUITE
BIFA,BIFA LIV01,16,KRISPINO MAX
BIFA,BIFA LIV01,1920,DAILY JOY 12.5CL
BIFA,BIFA LIV01,448,BESBOUSSA
BIFA,BIFA LIV01,100,BESTO CACAO
BIFA,BIFA LIV01,16,TALENT AUX CACAHOUETES
BIFA,BIFA LIV01,54,MAX CREME NOIR
BIFA,BIFA LIV01,240,BESTO BLANCO X4
BIFA,BIFA LIV01,20,BRAVA CHOCOLAT CACAHUETE
BIFA,BIFA LIV01,672,TORTO
BIFA,BIFA LIV01,216,BRINO NOIR VANILLE
BIFA,BIFA LIV01,8,MINI TALENT NOISETTES ET RAISINS SECS 70G
BIFA,BIFA LIV01,1920,CELEBRITY FONDANT
BIFA,BIFA LIV01,1350,DUNAROLL ROUGE
BIFA,BIFA LIV01,240,MARSHMALLOW NOIX DE COCO X4
BIFA,BIFA LIV01,8,BALBON REGLISE
BIFA,BIFA LIV01,144,BENITO CM6
BIFA,BIFA LIV01,120,BONITO PEANUTS
BIFA,BIFA LIV01,720,BESTO NOIR PM
BIFA,BIFA LIV01,30,CELEBRITY MINI BAR
BIFA,BIFA LIV01,240,BESTO NOIRCO 7 PCS
BIFA,BIFA LIV01,120,CHAMIA  90G
BIFA,BIFA LIV01,18,CHAMIA 25G
BIFA,BIFA LIV01,200,WAFERS GM CC
BIFA,BIFA LIV01,144,FAMELIO
BIFA,BIFA LIV01,260,BISCUIT SPECULOOS
BIFA,BIFA LIV01,144,RIGOLO
BIFA,BIFA LIV03,360,DAILY JOY CHOCOLATE 125 ML
BIFA,BIFA LIV03,216,AVANTAGE
BIFA,BIFA LIV03,855,WAFER CHOCO
BIFA,BIFA LIV03,30,DUNAROLL MAXI CREME CACAO
BIFA,BIFA LIV03,72,BONITO CHOCOLAT
BIFA,BIFA LIV03,450,DAILY ORG PECHE ABR 20CL
BIFA,BIFA LIV03,960,"DAILY JOY FRAISE 12,5CL"
BIFA,BIFA LIV03,150,DOLCE WAFER COCOA PLUS
BIFA,BIFA LIV03,8,ROYAL HALVA CHOCOLAT CHAMIA AMANDES
BIFA,BIFA LIV03,24,BALBON FRUITE
BIFA,BIFA LIV03,450,DAILY COCKTAIL 20CL
BIFA,BIFA LIV03,960,"DAILY JOY F BOIS 12,5CL"
BIFA,BIFA LIV03,8,CELEBRITY TWIN
BIFA,BIFA LIV03,8,STORY CHOCOLAT KUNAFA PISTACHE
BIFA,BIFA LIV03,30,DUNAROLL MAXI CREME BLANCHE
BIFA,BIFA LIV03,64,BIG FAMILY CC 8
BIFA,BIFA LIV03,24,BRAVA MINI CHOCOLAT CACAHUETE
BIFA,BIFA LIV03,2880,BRINO JUNIOR
BIFA,BIFA LIV03,540,DAILY ORG 20CL
BIFA,BIFA LIV03,24,CHAMIA 720 G
BIFA,BIFA LIV03,180,MINI CELEBRITY FONDANT
BIFA,BIFA LIV03,90,MAX CREME
BIFA,BIFA LIV03,18,PATE A TARTINER AUX NOISETTES 750g
BIFA,BIFA LIV03,108,CULINA PATE A GLACER PROFESSIONNEL
BIFA,BIFA LIV03,240,WAFERS GM VANILLE
BIFA,BIFA LIV03,360,BRINO BANANE
BIFA,BIFA LIV03,120,CELEBRITY BEST TIME
BIFA,BIFA LIV03,300,DOLCE WAFER COCOA
BIFA,BIFA LIV03,8,SUCETTE KRISTOP FRUITE
BIFA,BIFA LIV03,8,KRISPINO MAX
BIFA,BIFA LIV03,1440,DAILY JOY 12.5CL
BIFA,BIFA LIV03,96,BESBOUSSA
BIFA,BIFA LIV03,120,BESTO CACAO
BIFA,BIFA LIV03,90,MAX CREME NOIR
BIFA,BIFA LIV03,16,BRAVA CHOCOLAT CACAHUETE
BIFA,BIFA LIV03,960,TORTO
BIFA,BIFA LIV03,120,BRINO NOIR VANILLE
BIFA,BIFA LIV03,720,CELEBRITY FONDANT
BIFA,BIFA LIV03,1560,DUNAROLL ROUGE
BIFA,BIFA LIV03,8,BALBON REGLISE
BIFA,BIFA LIV03,16,MONTANA
BIFA,BIFA LIV03,144,BENITO CM6
BIFA,BIFA LIV03,720,BESTO NOIR PM
BIFA,BIFA LIV03,24,CELEBRITY MINI BAR
BIFA,BIFA LIV03,240,CHAMIA  90G
BIFA,BIFA LIV03,48,CHAMIA 25G
BIFA,BIFA LIV03,200,WAFERS GM CC
BIFA,BIFA LIV03,8,DOLCE TABLETTE CHOCOLAT
BIFA,BIFA LIV03,108,FAMELIO
BIFA,BIFA LIV03,120,BISCUIT SPECULOOS
BIFA,BIFA LIV03,90,RIGOLO
BIFA,BIFA LIV04,432,DAILY JOY CHOCOLATE 125 ML
BIFA,BIFA LIV04,252,AVANTAGE
BIFA,BIFA LIV04,945,WAFER CHOCO
BIFA,BIFA LIV04,30,DUNAROLL MAXI CREME CACAO
BIFA,BIFA LIV04,264,BONITO CHOCOLAT
BIFA,BIFA LIV04,300,DAILY ORG PECHE ABR 20CL
BIFA,BIFA LIV04,96,BRAVA BISCUIT SANDWICH
BIFA,BIFA LIV04,864,"DAILY JOY FRAISE 12,5CL"
BIFA,BIFA LIV04,150,DOLCE WAFER COCOA PLUS
BIFA,BIFA LIV04,8,ROYAL HALVA CHOCOLAT CHAMIA AMANDES
BIFA,BIFA LIV04,8,MINI TALENT CACAHOUETE
BIFA,BIFA LIV04,24,BALBON FRUITE
BIFA,BIFA LIV04,780,DAILY COCKTAIL 20CL
BIFA,BIFA LIV04,864,"DAILY JOY F BOIS 12,5CL"
BIFA,BIFA LIV04,8,BISCUIT RS DUO
BIFA,BIFA LIV04,28,CELEBRITY TWIN
BIFA,BIFA LIV04,72,BREAK ROLL
BIFA,BIFA LIV04,16,STORY CHOCOLAT KUNAFA PISTACHE
BIFA,BIFA LIV04,30,BISCUIT SPECULOOS CRUMBS
BIFA,BIFA LIV04,30,DUNAROLL MAXI CREME BLANCHE
BIFA,BIFA LIV04,56,BIG FAMILY CC 8
