Company,VAN,Qté,Article
BIFA,BIFA LIV01,5,CHAMIA PAPILLON 350g 
BIFA,BIFA LIV01,7,ROND GAUF AU NOIX DE COCO
BIFA,BIFA LIV01,20,WAFERS GM CITRON
BIFA,BIFA LIV01,7,BRAVA TWIST ECLATS NOISETTES
BIFA,BIFA LIV01,8,STORY CHOCOLAT SPECULOOS
BIFA,BIFA LIV01,8,BRAVA CHOCOLAT CACAHUETE
BIFA,BIFA LIV01,17,MONTANA
BIFA,BIFA LIV01,18,BALBON REGLISE
BIFA,BIFA LIV01,9,MINI TALENT CACAHOUETE
BIFA,BIFA LIV01,10,MINI TALENT NOISETTES ET RAISINS SECS 70G
BIFA,BIFA LIV01,33,CHAMIA 720 G
BIFA,BIFA LIV01,11,CELEBRITY TWIN
BIFA,BIFA LIV01,108,MUFFIN'S BREAK FRAISE
BIFA,BIFA LIV01,18,PATE A TARTINER AUX NOISETTES 750g
BIFA,BIFA LIV01,12,STORY BARRE KUNAFA PISTACHE
BIFA,BIFA LIV01,36,CULINA PATE A GLACER PROFESSIONNEL
BIFA,BIFA LIV01,12,STORY CHOCOLAT NOIR 70% CACAO
BIFA,BIFA LIV01,12,CELEBRITY BROWNIE
BIFA,BIFA LIV01,12,TALENT AUX CACAHOUETES
BIFA,BIFA LIV01,12,BISCUIT RS DUO
BIFA,BIFA LIV01,25,KRISPINO WAFER
BIFA,BIFA LIV01,19,CELEBRITY MINI BAR
BIFA,BIFA LIV01,13,KRISPINO MAX
BIFA,BIFA LIV01,27,SUCETTE KRISTOP FRUITE
BIFA,BIFA LIV01,27,ROND GAUF AU CACAHUETE
BIFA,BIFA LIV01,27,BALBON FRUITE
BIFA,BIFA LIV01,23,BRAVA MINI CHOCOLAT CACAHUETE
BIFA,BIFA LIV01,24,CHAMIA 25G
BIFA,BIFA LIV01,144,BREAK ROLL
BIFA,BIFA LIV01,40,BISCUIT SPECULOOS CRUMBS
BIFA,BIFA LIV01,16,STORY CHOCOLAT KUNAFA PISTACHE
BIFA,BIFA LIV01,128,BESBOUSSA
BIFA,BIFA LIV01,17,CELEBRITY BAR CAKE
BIFA,BIFA LIV01,120,BONITO PEANUTS
BIFA,BIFA LIV01,100,BISCUIT SPECULOOS
BIFA,BIFA LIV01,40,BIG FAMILY CC 8
BIFA,BIFA LIV01,100,WAFERS GM CC
BIFA,BIFA LIV01,20,ROYAL HALVA CHOCOLAT CHAMIA AMANDES
BIFA,BIFA LIV01,120,BESTO NOIRCO 7 PCS
BIFA,BIFA LIV01,90,RIGOLO
BIFA,BIFA LIV01,75,DOLCE WAFER COCOA PLUS
BIFA,BIFA LIV01,100,BESTO CACAO
BIFA,BIFA LIV01,90,BENITO CM6
BIFA,BIFA LIV01,90,MAX CREME
BIFA,BIFA LIV01,90,MAX CREME NOIR
BIFA,BIFA LIV01,100,WAFERS GM VANILLE
BIFA,BIFA LIV01,72,BRAVA BISCUIT SANDWICH
